"created","song","artist","songartist","url","count"
2015-07-05 09:52:36,"Powerful (Feat. Ellie Goulding &Amp; Tarrus Riley)","Major Lazer","Powerful (Feat. Ellie Goulding &Amp; Tarrus Riley) - Major Lazer","https://t.co/qOE3XOAbGU",18
2015-07-05 09:41:21,"Can't Feel My Face","The Weeknd","Can't Feel My Face - The Weeknd","https://t.co/q5jNrBLMdm",25
2015-07-05 09:29:20,"Holding On (Feat. Gregory Porter)","Disclosure","Holding On (Feat. Gregory Porter) - Disclosure","https://t.co/A59KFhjiMB",21
2015-07-05 09:06:04,"Bad Blood (Feat. Kendrick Lamar)","Taylor Swift","Bad Blood (Feat. Kendrick Lamar) - Taylor Swift","https://t.co/JNWOYie7i2",20
2015-07-05 09:03:04,"Cha Cha","D.R.A.M.","Cha Cha - D.R.A.M.","https://t.co/y5x202RZhS",21
2015-07-05 07:28:32,"Where Are Ü Now (With Justin Bieber)","Skrillex &Amp; Diplo","Where Are Ü Now (With Justin Bieber) - Skrillex &Amp; Diplo","https://t.co/RPsSAlyXnw",22
2015-07-05 03:20:56,"Cha Cha","D.R.A.M.","Cha Cha - D.R.A.M.","https://t.co/y5x202RZhS",21
2015-07-05 00:57:36,"Don't","Bryson Tiller","Don't - Bryson Tiller","https://t.co/5aIpY2Oagv",18
2015-07-05 00:53:51,"Pedestrian At Best","Courtney Barnett","Pedestrian At Best - Courtney Barnett","https://t.co/VH1qO224JN",21
2015-07-05 00:50:06,"Where Are Ü Now (With Justin Bieber)","Skrillex &Amp; Diplo","Where Are Ü Now (With Justin Bieber) - Skrillex &Amp; Diplo","https://t.co/RPsSAlyXnw",22
2015-07-05 00:42:35,"Let It Go","James Bay","Let It Go - James Bay","https://t.co/IvTH8ev32R",20
2015-07-04 21:59:02,"House Every Weekend","David Zowie","House Every Weekend - David Zowie",NA,19
2015-07-04 21:52:16,"Little Monster","Royal Blood","Little Monster - Royal Blood","https://t.co/hoA22ruzAz",23
2015-07-04 21:19:15,"Bad Blood (Feat. Kendrick Lamar)","Taylor Swift","Bad Blood (Feat. Kendrick Lamar) - Taylor Swift","https://t.co/JNWOYie7i2",20
2015-07-04 21:11:46,"Powerful (Feat. Ellie Goulding &Amp; Tarrus Riley)","Major Lazer","Powerful (Feat. Ellie Goulding &Amp; Tarrus Riley) - Major Lazer","https://t.co/qOE3XOAbGU",18
2015-07-04 21:04:15,"Can't Feel My Face","The Weeknd","Can't Feel My Face - The Weeknd","https://t.co/q5jNrBLMdm",25
2015-07-04 20:59:44,"Cha Cha","D.R.A.M.","Cha Cha - D.R.A.M.","https://t.co/y5x202RZhS",21
2015-07-04 20:55:59,"Little Monster","Royal Blood","Little Monster - Royal Blood","https://t.co/hoA22ruzAz",23
2015-07-04 20:55:14,"Dreams","Beck","Dreams - Beck","https://t.co/AyQGWKitnm",23
2015-07-04 18:51:27,"Trap Queen","Fetty Wap","Trap Queen - Fetty Wap","https://t.co/OWRc7c13Gg",21
2015-07-04 18:46:57,"Dreams","Beck","Dreams - Beck","https://t.co/AyQGWKitnm",23
2015-07-04 18:38:42,"Good For You (Feat. A$Ap Rocky)","Selena Gomez","Good For You (Feat. A$Ap Rocky) - Selena Gomez","https://t.co/O0qUbiYdXK",20
2015-07-04 18:34:55,"Pedestrian At Best","Courtney Barnett","Pedestrian At Best - Courtney Barnett","https://t.co/VH1qO224JN",21
2015-07-04 18:24:26,"Holding On (Feat. Gregory Porter)","Disclosure","Holding On (Feat. Gregory Porter) - Disclosure","https://t.co/A59KFhjiMB",21
2015-07-04 18:16:55,"Let It Go","James Bay","Let It Go - James Bay","https://t.co/IvTH8ev32R",20
2015-07-04 16:27:23,"Where Are Ü Now (With Justin Bieber)","Skrillex &Amp; Diplo","Where Are Ü Now (With Justin Bieber) - Skrillex &Amp; Diplo","https://t.co/RPsSAlyXnw",22
2015-07-04 15:45:21,"House Every Weekend","David Zowie","House Every Weekend - David Zowie",NA,19
2015-07-04 15:35:37,"Can't Feel My Face","The Weeknd","Can't Feel My Face - The Weeknd","https://t.co/q5jNrBLMdm",25
2015-07-04 15:03:21,"Don't Wanna Fight","Alabama Shakes","Don't Wanna Fight - Alabama Shakes","https://t.co/W1fdRGfVts",22
2015-07-04 14:50:35,"Little Monster","Royal Blood","Little Monster - Royal Blood","https://t.co/hoA22ruzAz",23
2015-07-04 12:49:02,"Holding On (Feat. Gregory Porter)","Disclosure","Holding On (Feat. Gregory Porter) - Disclosure","https://t.co/A59KFhjiMB",21
2015-07-04 12:45:17,"Pedestrian At Best","Courtney Barnett","Pedestrian At Best - Courtney Barnett","https://t.co/VH1qO224JN",21
2015-07-04 12:37:46,"Let It Go","James Bay","Let It Go - James Bay","https://t.co/IvTH8ev32R",20
2015-07-04 12:10:02,"Dreams","Beck","Dreams - Beck","https://t.co/AyQGWKitnm",23
2015-07-04 12:06:16,"Trap Queen","Fetty Wap","Trap Queen - Fetty Wap","https://t.co/OWRc7c13Gg",21
2015-07-04 12:01:47,"Holding On (Feat. Sam Dew)","Julio Bashmore","Holding On (Feat. Sam Dew) - Julio Bashmore","https://t.co/xckvanF7PP",20
2015-07-04 11:25:01,"Holding On (Feat. Gregory Porter)","Disclosure","Holding On (Feat. Gregory Porter) - Disclosure","https://t.co/A59KFhjiMB",21
2015-07-04 09:54:12,"Little Monster","Royal Blood","Little Monster - Royal Blood","https://t.co/hoA22ruzAz",23
2015-07-04 09:45:13,"Don't Wanna Fight","Alabama Shakes","Don't Wanna Fight - Alabama Shakes","https://t.co/W1fdRGfVts",22
2015-07-04 09:33:57,"Let It Go","James Bay","Let It Go - James Bay","https://t.co/IvTH8ev32R",20
2015-07-04 09:10:42,"Beautiful Life (Feat Action Bronson &Amp; Joey Bada$$)","Statik Selektah","Beautiful Life (Feat Action Bronson &Amp; Joey Bada$$) - Statik Selektah","https://t.co/oG1DKJUaDu",17
2015-07-04 09:03:59,"We Run The Block","Bonkaz","We Run The Block - Bonkaz","https://t.co/SWxqsMit0g",18
2015-07-04 09:00:57,"Can't Feel My Face","The Weeknd","Can't Feel My Face - The Weeknd","https://t.co/q5jNrBLMdm",25
2015-07-04 08:41:25,"We Run The Block","Bonkaz","We Run The Block - Bonkaz","https://t.co/SWxqsMit0g",18
